f [Hz],Vi [V],Vo [V],Dt [us],A [dB],Ar [dBr],Ph [°]
100,1.55,0.084,0.0026,-25.321048242168196,-40.13461674671729,93.60000000000001
600,1.58,0.416,0.00043999999999999996,-11.591275126553597,-26.404843631102693,95.03999999999998
2800,1.63,1.85,0.000108,1.0996824799811207,-13.713886024567977,108.864
3900,1.15,2.75,8.4e-05,7.572697069533021,-7.240871435016077,117.936
5000,1.62,6.78,7.8e-05,12.434293586488646,-2.3792749180604513,140.4
5250,1.53,7.11,7.999999999999999e-05,13.34356339824335,-1.4700051063057469,151.2
5500,1.44,7.23,7.999999999999999e-05,14.015516103985624,-0.7980524005634742,158.39999999999998
5750,1.34,7.15,8.2e-05,14.544024868725458,-0.2695436358236396,169.74
6000,1.25,6.88,8.2e-05,14.813568504549098,0.0,177.12
6250,1.17,6.48,8.2e-05,14.867782882488637,0.054214377939539204,184.49999999999997
6500,1.13,6.05,8.4e-05,14.573538623380983,-0.2400298811681143,196.55999999999997
6750,1.12,5.65,8.4e-05,14.056608502985137,-0.7569600015639608,204.11999999999998
7000,1.1,5.3,8.4e-05,13.657663688851278,-1.15590481569782,211.67999999999998
21000,1.24,1.03,3.48e-05,-1.611689209141257,-16.425257713690353,263.088
35000,1.25,0.61,2.1e-05,-6.231603559945787,-21.045172064494885,264.6
50000,1.26,0.43,1.4999999999999999e-05,-9.338041790759528,-24.151610295308625,269.99999999999994
60000,1.26,0.362,1.24e-05,-10.833239491687943,-25.64680799623704,267.84
100000,1.26,0.224,7.499999999999999e-06,-15.002450535668002,-29.8160190402171,269.99999999999994
