Freq [Hz],A [dB],Ph [°]
5.00000000000000e+00,-5.27742282237150e+01,-9.00184496613904e+01
6.98135398061561e+00,-4.98748295648838e+01,-9.00257607403324e+01
9.74786068053148e+00,-4.69754256194488e+01,-9.00359690155108e+01
1.36106531929030e+01,-4.40760113673744e+01,-9.00502226114089e+01
1.90041575694103e+01,-4.11765770216711e+01,-9.00701247072063e+01
2.65349502190898e+01,-3.82771035016398e+01,-9.00979140106271e+01
3.70499760674959e+01,-3.53775536071041e+01,-9.01367170048601e+01
5.17317995801051e+01,-3.24778548099217e+01,-9.01909008520793e+01
7.22316009845951e+01,-2.95778656971275e+01,-9.02665680444305e+01
1.00854875012008e+02,-2.66773105202706e+01,-9.03722522520860e+01
1.40820716625915e+02,-2.37756514837931e+01,-9.05199040386476e+01
1.96623854113894e+02,-2.08718393404579e+01,-9.07263057317271e+01
2.74540145320404e+02,-1.79638255546747e+01,-9.10151524223572e+01
3.83332387274278e+02,-1.50476051149894e+01,-9.14202475127321e+01
5.35235817559233e+02,-1.21153270652490e+01,-9.19907689752839e+01
7.47334141097040e+02,-9.15152114790977e+00,-9.28008947276006e+01
1.04348083615955e+03,-6.12539372859358e+00,-9.39698835233809e+01
1.45698181784372e+03,-2.97443705519309e+00,-9.57108068983509e+01
2.03434116273756e+03,4.33101215887709e-01,-9.84710767498061e+01
2.84049115488161e+03,4.39499348739447e+00,-1.03441294866842e+02
3.00000000000000e+03,5.13607934863179e+00,-1.04664131144002e+02
3.12717046926729e+03,5.72403917329175e+00,-1.05716753673410e+02
3.25973171461913e+03,6.33627193660904e+00,-1.06897733318093e+02
3.39791225189698e+03,6.97568949630046e+00,-1.08232223115645e+02
3.54195028376458e+03,7.64553592547186e+00,-1.09752153169134e+02
3.69209411033383e+03,8.34936501329161e+00,-1.11498506262745e+02
3.84860255719721e+03,9.09094957340884e+00,-1.13524471108564e+02
3.96609484620724e+03,9.65383355186455e+00,-1.15205325617791e+02
4.01174542160456e+03,9.87405555118695e+00,-1.15899810120650e+02
4.18180393755334e+03,1.07019542020629e+01,-1.18716842337004e+02
4.35907126059415e+03,1.15764353469738e+01,-1.22098370904431e+02
4.54385297318725e+03,1.24958906384849e+01,-1.26207340355988e+02
4.73646761148118e+03,1.34517343914781e+01,-1.31256100335942e+02
4.93724721442163e+03,1.44221198099050e+01,-1.37507853704622e+02
5.14653789613716e+03,1.53622091838295e+01,-1.45250922303422e+02
5.36470044258837e+03,1.61931660612584e+01,-1.54708391511877e+02
5.53774240841359e+03,1.66846239933923e+01,-1.63093004866861e+02
5.59211093350917e+03,1.68006958433683e+01,-1.65847808758781e+02
5.82916139071220e+03,1.70638876092651e+01,-1.78154641407788e+02
6.07626045387607e+03,1.69180802382534e+01,1.69371600375980e+02
6.33383408497929e+03,1.64001003211284e+01,1.57811520893389e+02
6.60232630259527e+03,1.56215756795819e+01,1.47839938438289e+02
6.88219994731420e+03,1.47035754836007e+01,1.39610634612163e+02
7.17393747961128e+03,1.37360985674289e+01,1.32951268213904e+02
7.47804181153673e+03,1.27729180954088e+01,1.27579189997289e+02
7.73218800132041e+03,1.20198961006313e+01,1.24001413028155e+02
7.79503717366123e+03,1.18414650838543e+01,1.23219155167433e+02
8.12547001877138e+03,1.09534117354508e+01,1.19643360750424e+02
8.46990996387285e+03,1.01119415341480e+01,1.16675205921026e+02
8.82895077212531e+03,9.31600489594885e+00,1.14181173587999e+02
9.20321137640163e+03,8.56263142908460e+00,1.12060921591138e+02
9.59333694623597e+03,7.84813317408420e+00,1.10238778720160e+02
9.99999999999997e+03,7.16870735895165e+00,1.08657215437300e+02
1.07962282963773e+04,5.99499676089896e+00,1.06228676647412e+02
1.50744582785097e+04,1.70870460750761e+00,9.98239507225333e+01
2.10480258616595e+04,-1.84213262601093e+00,9.65098219675907e+01
2.93887438266794e+04,-5.06102758484062e+00,9.44892428388242e+01
4.10346447399361e+04,-8.12062470835510e+00,9.31553279244412e+01
5.72954760796601e+04,-1.11012479180236e+01,9.22389932621754e+01
8.00000000000002e+04,-1.40420620855915e+01,9.15967871512289e+01
